alert,baroaltitude,callsign,geoaltitude,heading,icao24,lastcontact,lastposupdate,lat,lon,onground,spi,squawk,time,velocity,vertrate,aircraft_model,wingspan_m,length_m,has_dimensions,is_grounded,is_stationary,is_likely_taxiing
False,5478.780000000001,HXP101,5859.780000000001,66.5014343240479,ad0b73,1563814809.973,1563814809.836,33.42972060381356,-112.00219602000956,False,False,0772,1563814810,180.6306583346322,9.7536,LJ35,12.0396,14.843760000000001,True,False,False,False
False,5577.84,HXP102,5958.84,66.63088683651793,ad0b73,1563814819.975,1563814819.975,33.436431884765625,-111.98380737304686,False,False,6202,1563814820,181.57468415846503,10.07872,LJ35,12.0396,14.843760000000001,True,False,False,False
False,480.06,KLY104,495.3,270.3871277541509,a7d2ae,1563814869.969,1563814869.919,33.42874300681938,-111.96996572066325,False,False,7771,1563814870,76.13944996665053,-3.2512000000000003,E75S,28.71216,31.668720000000004,True,False,False,False
False,441.96000000000004,ZET105,472.44000000000005,270.3871277541509,a7d2ae,1563814879.862,1563814879.579,33.4288330078125,-111.97798461914061,False,False,7771,1563814880,76.13944996665053,-3.90144,E75S,28.71216,31.668720000000004,True,False,False,False
False,403.86,PNK106,403.86,269.6102388046819,a7d2ae,1563814889.888,1563814889.743,33.4288330078125,-111.98616943359374,False,False,7771,1563814890,75.62501778928029,-3.90144,E75S,28.71216,31.668720000000004,True,False,False,False
False,381.0,JUV108,381.0,270.0,a7d2ae,1563814897.552,1563814894.321,33.4288330078125,-111.99017944335938,False,False,7771,1563814900,75.108824,-2.60096,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,TQN109,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814910,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,VOR110,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814920,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,VOR113,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814930,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,RYS116,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814940,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,XAL119,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814950,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,TQN122,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814960,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,VOR124,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814970,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,PNK125,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814980,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,RYS126,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563814990,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,XAL129,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815000,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,PNK131,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815010,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,487.68,PNK133,487.68,269.6609756755485,ad4eea,1563815009.966,1563815009.581,33.42874300681938,-112.0341460558833,False,False,,1563815010,86.9425580103463,16.90624,UNKNOWN_MODEL,,,False,False,False,False
False,350.52000000000004,JUV134,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815020,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,632.46,MKN135,632.46,270.32370152492024,ad4eea,1563815019.899,1563815019.75,33.42878723144531,-112.04373779296876,False,False,4163,1563815020,91.05804122004206,14.630400000000002,UNKNOWN_MODEL,,,False,False,False,False
