icao,runway,operation,timestamp,distance_to_tower_nm,altitude_agl_ft,ground_speed_knots,vertical_rate_fpm,heading_deg,wind_along_runway,wind_cross_runway,time_of_day,runway_alignment_error,aircraft_category,weather_tmpf,weather_relh,weather_drct,weather_sknt,runway_label,dt,active_runways,ac_cat_heavy_jet,ac_cat_light_prop,ac_cat_medium_jet,ac_cat_regional_jet,ac_cat_turboprop,ac_cat_unknown,op_landing,op_takeoff,heading_deg_missing,wind_along_runway_missing,wind_cross_runway_missing,runway_alignment_error_missing,vertical_rate_fpm_missing,weather_tmpf_missing,weather_relh_missing,weather_drct_missing,weather_sknt_missing,date
ad61de,8,landing,1764633600.99,0.46077766562976036,0.0,0.0,0.0,25.3,2.364032260820166,-1.846984425976975,0.0,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:00.990000010,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a114f4,07R,landing,1764633601.11,0.2658887636037016,0.0,0.0,0.0,171.6,2.364032260820166,-1.846984425976975,0.0002777777777777778,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:01.109999895,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aa1f97,26,landing,1764633601.13,0.35272034324542695,0.0,0.0,0.0,126.6,-2.3640322608201663,1.8469844259769745,0.0002777777777777778,131.4,unknown,69.0,32.1,40.0,3.0,4,2025-12-02 00:00:01.130000114,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a0480b,07R,landing,1764633601.32,0.3927877647447395,0.0,0.0,0.0,239.1,2.364032260820166,-1.846984425976975,0.0002777777777777778,161.1,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:01.319999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aa88d2,8,landing,1764633601.6,3.4859232519725483,1418.1385781454976,225.4,5.2325361959976515,86.7,2.364032260820166,-1.846984425976975,0.0002777777777777778,8.700000000000003,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:01.599999905,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a33716,8,landing,1764633601.7,0.298760570788647,0.0,0.0,0.0,0.0,2.364032260820166,-1.846984425976975,0.0002777777777777778,78.0,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:01.700000048,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a9dce9,8,landing,1764633602.04,0.23732057833005188,0.0,0.0,0.0,154.7,2.364032260820166,-1.846984425976975,0.0005555555555555556,76.69999999999999,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:02.039999962,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a466fc,25L,landing,1764633602.75,0.9577539878373268,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.0005555555555555556,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:02.750000000,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aaa5ff,8,landing,1764633603.07,0.36062226709389317,0.0,0.0,0.0,289.7,2.364032260820166,-1.846984425976975,0.0008333333333333334,211.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:03.069999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aa02ab,25L,landing,1764633603.07,0.2379284872521182,0.0,0.0,0.0,171.6,-2.3640322608201663,1.8469844259769745,0.0008333333333333334,79.69999999999999,unknown,69.0,32.1,40.0,3.0,2,2025-12-02 00:00:03.069999933,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
