time,icao,operation,airport,flight,runway,ac_type,elev
2026-01-01 00:02:09,ac3ea3,landing,KPHX,SWA1779,8,B38M,1135
2026-01-01 00:02:40,a36636,takeoff,KPHX,AAL1164,07L,B38M,1135
2026-01-01 00:04:04,ac4843,landing,KPHX,SWA557,8,B38M,1135
2026-01-01 00:05:48,aa55b5,takeoff,KPHX,SKW6513,07L,CRJ7,1135
2026-01-01 00:07:00,a30f85,takeoff,KPHX,ASA401,07L,B739,1135
2026-01-01 00:07:06,abefba,landing,KPHX,SWA2976,07R,B738,1135
2026-01-01 00:08:07,ac98ac,takeoff,KPHX,SWA3630,07L,B737,1135
2026-01-01 00:09:02,a89086,takeoff,KPHX,AAL2127,07L,A320,1135
2026-01-01 00:10:37,a379dd,landing,KPHX,ENY4204,8,E75L,1135
2026-01-01 00:11:11,a5d623,takeoff,KPHX,UAL564,07L,B39M,1135
2026-01-01 00:12:10,ac4ffb,takeoff,KPHX,SWA4066,07L,B38M,1135
2026-01-01 00:12:57,aa1a81,takeoff,KPHX,SKW6436,07L,CRJ7,1135
2026-01-01 00:14:23,ad775d,takeoff,KPHX,NKS1521,07L,A20N,1135
2026-01-01 00:14:51,a98ea6,landing,KPHX,CNS810,07R,PC12,1135
2026-01-01 00:17:30,a1600b,landing,KPHX,SKW3240,07R,E75L,1135
2026-01-01 00:17:41,ac86af,takeoff,KPHX,AAL1596,07L,B738,1135
2026-01-01 00:18:53,ac6f88,landing,KPHX,N900DS,07R,C25A,1135
2026-01-01 00:19:57,ac3ac9,takeoff,KPHX,SWA2269,07L,B38M,1135
2026-01-01 00:20:33,aa7b10,landing,KPHX,SWA752,8,B737,1135
2026-01-01 00:21:02,abb507,takeoff,KPHX,SWA483,07L,B738,1135
2026-01-01 00:21:54,a203a9,landing,KPHX,ENY3661,07R,E75L,1135
2026-01-01 00:22:08,a577d4,takeoff,KPHX,SWA3487,07L,B737,1135
2026-01-01 00:23:17,a98cbc,takeoff,KPHX,AAL2855,07L,A319,1135
2026-01-01 00:25:45,ac1789,takeoff,KPHX,SWA2402,07L,B38M,1135
2026-01-01 00:27:17,aa4322,landing,KPHX,SKW6226,8,CRJ7,1135
2026-01-01 00:28:57,a18b71,takeoff,KPHX,AAL2307,07L,A321,1135
2026-01-01 00:30:46,a3b1a0,landing,KPHX,UPS2906,07R,B763,1135
2026-01-01 00:30:54,a3d3b3,takeoff,KPHX,ENY4329,07L,E75L,1135
2026-01-01 00:31:44,a106d6,takeoff,KPHX,VTE3304,07L,E135,1135
2026-01-01 00:32:54,a302a0,landing,KPHX,SWA2586,8,B737,1135
2026-01-01 00:33:19,a2ddac,takeoff,KPHX,ENY4086,07L,E75L,1135
