station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PHX,2025-08-01 00:51,-112.0116,33.4343,337.00,107.00,55.00,18.36,M,4.00,0.00,29.82,1007.50,10.00,16.00,SCT,SCT,M,M,10000.00,25000.00,M,M,M,M,M,M,M,M,M,106.16,KPHX 010051Z VRB04G16KT 10SM SCT100 SCT250 42/13 A2982 RMK AO2 SLP075 T04170128,M
PHX,2025-08-01 00:53,-112.0116,33.4343,337.00,108.00,55.00,17.83,270.00,6.00,0.00,29.82,M,10.00,M,SCT,SCT,M,M,10000.00,25000.00,M,M,M,M,M,M,M,M,M,107.23,KPHX 010053Z 27006KT 10SM SCT100 SCT250 42/13 A2982 RMK AO2 T04220128,M
PHX,2025-08-01 01:51,-112.0116,33.4343,337.00,107.00,57.00,19.74,290.00,5.00,0.00,29.83,1007.70,10.00,M,FEW,SCT,SCT,M,7000.00,10000.00,25000.00,M,M,M,M,M,M,M,M,107.10,KPHX 010151Z 29005KT 10SM FEW070 SCT100 SCT250 42/14 A2983 RMK AO2 SLP077 T04170139,M
PHX,2025-08-01 02:51,-112.0116,33.4343,337.00,103.00,65.00,29.48,240.00,13.00,T,29.84,1008.20,10.00,20.00,FEW,SCT,BKN,BKN,7000.00,11000.00,14000.00,25000.00,-RA,M,M,M,M,M,M,107.34,KPHX 010251Z COR 24013G20KT 10SM -RA FEW070 SCT110 BKN140 BKN250 39/18 A2984 RMK AO2 RAB50 SLP082 VIRGA CB DSNT S P0000 60000 T03940183 53002,M
PHX,2025-08-01 03:51,-112.0116,33.4343,337.00,103.00,56.00,21.41,260.00,10.00,T,29.86,1008.80,10.00,M,FEW,SCT,M,M,11000.00,14000.00,M,M,M,M,M,M,M,M,M,102.21,KPHX 010351Z 26010KT 10SM FEW110 SCT140 39/13 A2986 RMK AO2 RAE01 SLP088 P0000 T03940133,M
PHX,2025-08-01 04:51,-112.0116,33.4343,337.00,101.00,55.00,21.92,240.00,10.00,0.00,29.88,1009.60,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,99.62,KPHX 010451Z 24010KT 10SM FEW120 38/13 A2988 RMK AO2 SLP096 T03830128,M
PHX,2025-08-01 05:51,-112.0116,33.4343,337.00,101.00,54.00,21.13,270.00,8.00,0.00,29.90,1010.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.26,KPHX 010551Z 27008KT 10SM CLR 38/12 A2990 RMK AO2 SLP101 60000 T03830122 10428 20372 51019,M
PHX,2025-08-01 06:51,-112.0116,33.4343,337.00,99.00,54.00,22.44,270.00,7.00,0.00,29.91,1010.50,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,97.10,KPHX 010651Z 27007KT 10SM FEW120 37/12 A2991 RMK AO2 SLP105 T03720122 404390311,M
PHX,2025-08-01 07:51,-112.0116,33.4343,337.00,99.00,56.00,24.13,300.00,10.00,0.00,29.92,1010.70,10.00,M,SCT,BKN,M,M,12000.00,14000.00,M,M,M,M,M,M,M,M,M,97.78,KPHX 010751Z 30010KT 10SM SCT120 BKN140 37/13 A2992 RMK AO2 SLP107 T03720133,M
PHX,2025-08-01 08:51,-112.0116,33.4343,337.00,97.00,57.00,26.58,170.00,3.00,0.00,29.94,1011.50,10.00,M,SCT,BKN,M,M,12000.00,15000.00,M,M,M,M,M,M,M,M,M,95.96,KPHX 010851Z 17003KT 10SM SCT120 BKN150 36/14 A2994 RMK AO2 SLP115 FRQ LTGCGIC DSNT SE CB DSNT SE T03610139 53013,M
PHX,2025-08-01 09:51,-112.0116,33.4343,337.00,95.00,58.00,29.29,110.00,7.00,0.00,29.95,1012.00,10.00,M,SCT,BKN,M,M,12000.00,15000.00,M,M,M,M,M,M,M,M,M,94.15,KPHX 010951Z 11007KT 10SM SCT120 BKN150 35/14 A2995 RMK AO2 SLP120 T03500144,M
PHX,2025-08-01 10:51,-112.0116,33.4343,337.00,93.00,59.00,32.29,90.00,5.00,0.00,29.96,1012.10,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,92.39,KPHX 011051Z 09005KT 10SM FEW110 34/15 A2996 RMK AO2 SLP121 T03390150,M
PHX,2025-08-01 11:51,-112.0116,33.4343,337.00,92.00,61.00,35.76,90.00,3.00,0.00,29.96,1012.30,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,92.15,KPHX 011151Z 09003KT 10SM FEW110 33/16 A2996 RMK AO2 SLP123 T03330161 10383 20333 51008,M
PHX,2025-08-01 12:51,-112.0116,33.4343,337.00,92.00,61.00,35.76,100.00,5.00,0.00,29.98,1012.80,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,92.15,KPHX 011251Z 10005KT 10SM FEW110 33/16 A2998 RMK AO2 SLP128 T03330161,M
PHX,2025-08-01 13:51,-112.0116,33.4343,337.00,93.00,61.00,34.67,100.00,6.00,0.00,29.99,1013.40,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,93.23,KPHX 011351Z 10006KT 10SM FEW110 34/16 A2999 RMK AO2 SLP134 T03390161,M
PHX,2025-08-01 14:51,-112.0116,33.4343,337.00,95.00,60.00,31.46,140.00,6.00,0.00,30.01,1013.80,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,94.98,KPHX 011451Z 14006KT 10SM FEW110 35/16 A3001 RMK AO2 SLP138 T03500156 51015,M
PHX,2025-08-01 15:51,-112.0116,33.4343,337.00,98.00,60.00,28.72,170.00,9.00,0.00,30.02,1014.10,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,98.36,KPHX 011551Z 17009KT 10SM FEW110 37/16 A3002 RMK AO2 SLP141 T03670156,M
PHX,2025-08-01 16:51,-112.0116,33.4343,337.00,100.00,60.00,27.04,140.00,8.00,0.00,30.02,1014.30,10.00,M,FEW,FEW,M,M,11000.00,18000.00,M,M,M,M,M,M,M,M,M,100.65,KPHX 011651Z 14008KT 10SM FEW110 FEW180 38/16 A3002 RMK AO2 SLP143 T03780156,M
PHX,2025-08-01 17:51,-112.0116,33.4343,337.00,103.00,60.00,24.72,130.00,10.00,0.00,30.01,1014.00,10.00,17.00,FEW,FEW,M,M,11000.00,18000.00,M,M,M,M,M,M,M,M,M,104.13,KPHX 011751Z 13010G17KT 10SM FEW110 FEW180 39/16 A3001 RMK AO2 SLP140 T03940156 10400 20333 50001,M
PHX,2025-08-01 18:51,-112.0116,33.4343,337.00,108.00,60.00,21.34,180.00,8.00,0.00,30.00,1013.40,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,109.88,KPHX 011851Z 18008KT 10SM FEW110 42/16 A3000 RMK AO2 SLP134 T04220156,M
